Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
448,Milt Wilcox,27,DET,AL,6,2,.750,3.64,20,13,4,1,0,0,106.1,96,46,43,13,37,1,82,1,1,1,441,118,3.86,1.251,8.1,1.1,3.1,6.9,2.22,wilcomi01
449,Randy Wiles*,25,CHW,AL,1,1,.500,10.13,5,0,4,0,0,0,2.2,5,3,3,1,3,1,0,0,0,0,16,46,10.99,3.000,16.9,3.4,10.1,0.0,0.00,wilesra01
450,Charlie Williams,29,SFG,NL,6,5,.545,4.00,55,8,10,1,0,0,119.1,116,62,53,9,60,16,41,3,0,3,512,98,4.62,1.475,8.7,0.7,4.5,3.1,0.68,willich01
451,Mike Willis*,26,TOR,AL,2,6,.250,3.94,43,3,28,0,0,5,107.1,105,48,47,15,38,6,59,0,0,2,451,107,4.52,1.332,8.8,1.3,3.2,4.9,1.55,willimi01
452,Jim Willoughby,28,BOS,AL,6,2,.750,4.94,31,0,16,0,0,2,54.2,54,32,30,5,18,3,33,2,0,2,234,92,3.82,1.317,8.9,0.8,3.0,5.4,1.83,willoji01
453,Rick Wise,31,BOS,AL,11,5,.688,4.77,26,20,2,4,2,0,128.1,151,68,68,19,28,1,85,4,1,1,555,95,4.09,1.395,10.6,1.3,2.0,6.0,3.04,wiseri01
454,Wilbur Wood*,35,CHW,AL,7,8,.467,4.99,24,18,2,5,1,0,122.2,139,75,68,10,50,0,42,10,0,0,548,83,4.58,1.541,10.2,0.7,3.7,3.1,0.84,woodwi01
455,Pat Zachry,25,TOT,NL,10,13,.435,4.25,31,31,0,5,1,0,194.2,207,104,92,21,77,5,99,4,1,0,845,90,4.37,1.459,9.6,1.0,3.6,4.6,1.29,zachrpa01
456,Pat Zachry,25,CIN,NL,3,7,.300,5.04,12,12,0,3,0,0,75.0,78,45,42,7,29,1,36,1,0,0,321,78,4.19,1.427,9.4,0.8,3.5,4.3,1.24,zachrpa01
457,Pat Zachry,25,NYM,NL,7,6,.538,3.76,19,19,0,2,1,0,119.2,129,59,50,14,48,4,63,3,1,0,524,99,4.49,1.479,9.7,1.1,3.6,4.7,1.31,zachrpa01
458,Geoff Zahn*,31,MIN,AL,12,14,.462,4.68,34,32,0,7,1,0,198.0,234,116,103,20,66,4,88,5,0,5,870,85,4.24,1.515,10.6,0.9,3.0,4.0,1.33,zahnge01
