Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Ted Abernathy,36,CHC,NL,4,3,.571,3.16,56,0,20,0,0,3,85.1,75,38,30,8,42,11,55,1,1,5,374,128,3.95,1.371,7.9,0.8,4.4,5.8,1.31,abernte02
2,Mike Adamson,21,BAL,AL,0,1,.000,4.50,6,0,1,0,0,0,8.0,10,4,4,0,6,2,2,0,0,1,38,83,4.26,2.000,11.3,0.0,6.8,2.3,0.33,adamsmi01
3,Hank Aguirre*,38,CHC,NL,1,0,1.000,2.60,41,0,9,0,0,1,45.0,45,13,13,2,12,1,19,2,0,1,186,156,3.18,1.267,9.0,0.4,2.4,3.8,1.58,aguirha01
4,Jack Aker,28,TOT,AL,8,6,.571,3.17,53,0,32,0,0,14,82.1,76,32,29,8,35,9,47,5,0,0,348,112,4.09,1.348,8.3,0.9,3.8,5.1,1.34,akerja01
5,Jack Aker,28,SEP,AL,0,2,.000,7.56,15,0,9,0,0,3,16.2,25,15,14,4,13,4,7,1,0,0,85,49,7.31,2.280,13.5,2.2,7.0,3.8,0.54,akerja01
6,Jack Aker,28,NYY,AL,8,4,.667,2.06,38,0,23,0,0,11,65.2,51,17,15,4,22,5,40,4,0,0,263,171,3.27,1.112,7.0,0.5,3.0,5.5,1.82,akerja01
7,Lloyd Allen,19,CAL,AL,0,1,.000,5.40,4,1,0,0,0,0,10.0,5,7,6,1,10,0,5,0,0,0,44,67,5.81,1.500,4.5,0.9,9.0,4.5,0.50,allenll01
8,Steve Arlin,23,SDP,NL,0,1,.000,9.28,4,1,2,0,0,0,10.2,13,11,11,2,9,1,9,0,0,5,54,40,5.79,2.063,11.0,1.7,7.6,7.6,1.00,arlinst01
9,Gerry Arrigo*,28,CIN,NL,4,7,.364,4.15,20,16,0,1,0,0,91.0,89,50,42,9,61,3,35,8,0,11,422,91,5.30,1.648,8.8,0.9,6.0,3.5,0.57,arrigge01
10,Stan Bahnsen,24,NYY,AL,9,16,.360,3.83,40,33,4,5,2,1,220.2,222,102,94,28,90,9,130,0,0,10,956,91,4.20,1.414,9.1,1.1,3.7,5.3,1.44,bahnsst01
