Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Don Aase,31,BAL,AL,6,7,.462,2.98,66,0,58,0,0,34,81.2,71,29,27,6,28,2,67,0,0,4,337,140,3.11,1.212,7.8,0.7,3.1,7.4,2.39,aasedo01
2,Jim Acker,27,TOT,MLB,5,12,.294,4.01,44,19,9,0,0,0,155.0,163,81,69,13,48,6,69,3,1,5,661,102,3.96,1.361,9.5,0.8,2.8,4.0,1.44,ackerji01
3,Jim Acker,27,TOR,AL,2,4,.333,4.35,23,5,6,0,0,0,60.0,63,34,29,6,22,3,32,2,1,3,259,98,4.20,1.417,9.5,0.9,3.3,4.8,1.45,ackerji01
4,Jim Acker,27,ATL,NL,3,8,.273,3.79,21,14,3,0,0,0,95.0,100,47,40,7,26,3,37,1,0,2,402,105,3.80,1.326,9.5,0.7,2.5,3.5,1.42,ackerji01
5,Juan Agosto*,28,TOT,AL,1,4,.200,8.64,26,1,4,0,0,1,25.0,49,30,24,1,18,0,12,2,0,1,139,51,4.73,2.680,17.6,0.4,6.5,4.3,0.67,agostju01
6,Juan Agosto*,28,CHW,AL,0,2,.000,7.71,9,0,1,0,0,0,4.2,6,5,4,0,4,0,3,0,0,0,24,61,4.06,2.143,11.6,0.0,7.7,5.8,0.75,agostju01
7,Juan Agosto*,28,MIN,AL,1,2,.333,8.85,17,1,3,0,0,1,20.1,43,25,20,1,14,0,9,2,0,1,115,49,4.89,2.803,19.0,0.4,6.2,4.0,0.64,agostju01
8,Rick Aguilera,24,NYM,NL,10,7,.588,3.88,28,20,2,2,0,0,141.2,145,70,61,15,36,1,104,7,3,5,605,93,3.59,1.278,9.2,1.0,2.3,6.6,2.89,aguilri01
9,Darrel Akerfelds,24,OAK,AL,0,0,,6.75,2,0,2,0,0,0,5.1,7,5,4,2,3,1,5,0,0,2,26,61,7.46,1.875,11.8,3.4,5.1,8.4,1.67,akerfda01
10,Doyle Alexander,35,TOT,MLB,11,10,.524,4.14,34,34,0,5,0,0,228.1,255,114,105,27,37,2,139,4,0,2,966,99,3.63,1.279,10.1,1.1,1.5,5.5,3.76,alexado01
11,Doyle Alexander,35,TOR,AL,5,4,.556,4.46,17,17,0,3,0,0,111.0,120,56,55,18,20,1,65,4,0,1,470,95,4.36,1.261,9.7,1.5,1.6,5.3,3.25,alexado01
12,Doyle Alexander,35,ATL,NL,6,6,.500,3.84,17,17,0,2,0,0,117.1,135,58,50,9,17,1,74,0,0,1,496,103,2.94,1.295,10.4,0.7,1.3,5.7,4.35,alexado01
13,Neil Allen,28,CHW,AL,7,2,.778,3.82,22,17,1,2,2,0,113.0,101,50,48,8,38,1,57,2,0,4,466,114,3.74,1.230,8.0,0.6,3.0,4.5,1.50,allenne01
14,Larry Andersen,33,TOT,NL,2,1,.667,3.03,48,0,8,0,0,1,77.1,83,30,26,2,26,10,42,1,0,1,323,121,3.07,1.409,9.7,0.2,3.0,4.9,1.62,anderla02
15,Larry Andersen,33,PHI,NL,0,0,,4.26,10,0,1,0,0,0,12.2,19,8,6,0,3,0,9,0,0,0,55,94,2.06,1.737,13.5,0.0,2.1,6.4,3.00,anderla02
16,Larry Andersen,33,HOU,NL,2,1,.667,2.78,38,0,7,0,0,1,64.2,64,22,20,2,23,10,33,1,0,1,268,129,3.27,1.345,8.9,0.3,3.2,4.6,1.43,anderla02
17,Allan Anderson*,22,MIN,AL,3,6,.333,5.55,21,10,3,1,0,0,84.1,106,54,52,11,30,3,51,1,2,2,371,77,4.36,1.613,11.3,1.2,3.2,5.4,1.70,anderal02
18,Rick Anderson,29,NYM,NL,2,1,.667,2.72,15,5,4,0,0,1,49.2,45,17,15,3,11,3,21,0,1,1,201,133,3.38,1.128,8.2,0.5,2.0,3.8,1.91,anderri02
19,Joaquin Andujar,33,OAK,AL,12,7,.632,3.82,28,26,2,7,1,1,155.1,139,70,66,23,56,1,72,4,4,2,647,101,4.93,1.255,8.1,1.3,3.2,4.2,1.29,andujjo01
20,Luis Aquino,22,TOR,AL,1,1,.500,6.35,7,0,3,0,0,0,11.1,14,8,8,2,3,1,5,0,0,1,50,69,4.98,1.500,11.1,1.6,2.4,4.0,1.67,aquinlu01
21,Mike Armstrong,32,NYY,AL,0,1,.000,9.35,7,1,4,0,0,0,8.2,13,9,9,4,5,1,8,0,0,0,42,46,8.66,2.077,13.5,4.2,5.2,8.3,1.60,armstmi01
22,Tony Arnold,27,BAL,AL,0,2,.000,3.55,11,0,3,0,0,0,25.1,25,15,10,0,11,3,7,0,0,0,104,118,3.52,1.421,8.9,0.0,3.9,2.5,0.64,arnolto01
23,Brad Arnsberg,22,NYY,AL,0,0,,3.38,2,1,1,0,0,0,8.0,13,3,3,1,1,0,3,0,0,0,39,127,4.02,1.750,14.6,1.1,1.1,3.4,3.00,arnsbbr01
24,Fernando Arroyo,34,OAK,AL,0,0,,,1,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,3,,,,,,,,0.00,arroyfe01
25,Paul Assenmacher*,25,ATL,NL,7,3,.700,2.50,61,0,27,0,0,7,68.1,61,23,19,5,26,4,56,0,3,2,287,159,3.22,1.273,8.0,0.7,3.4,7.4,2.15,assenpa01
26,Keith Atherton,27,TOT,AL,6,10,.375,4.08,60,0,36,0,0,10,97.0,100,47,44,11,46,4,67,1,0,2,431,104,4.32,1.505,9.3,1.0,4.3,6.2,1.46,atherke01
27,Keith Atherton,27,OAK,AL,1,2,.333,5.87,13,0,5,0,0,0,15.1,18,10,10,2,11,1,8,0,0,0,75,67,5.58,1.891,10.6,1.2,6.5,4.7,0.73,atherke01
28,Keith Atherton,27,MIN,AL,5,8,.385,3.75,47,0,31,0,0,10,81.2,82,37,34,9,35,3,59,1,0,2,356,114,4.08,1.433,9.0,1.0,3.9,6.5,1.69,atherke01
29,Scott Bailes*,24,CLE,AL,10,10,.500,4.95,62,10,22,0,0,7,112.2,123,70,62,12,43,5,60,1,2,4,500,84,4.26,1.473,9.8,1.0,3.4,4.8,1.40,bailesc01
