Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Don Aase,35,LAD,NL,3,1,.750,4.97,32,0,13,0,0,3,38.0,33,24,21,5,19,4,24,0,0,3,163,75,4.76,1.368,7.8,1.2,4.5,5.7,1.26,aasedo01
2,Jim Abbott*,22,CAL,AL,10,14,.417,4.51,33,33,0,4,1,0,211.2,246,116,106,16,72,6,105,5,3,4,925,84,3.89,1.502,10.5,0.7,3.1,4.5,1.46,abbotji01
3,Paul Abbott,22,MIN,AL,0,5,.000,5.97,7,7,0,0,0,0,34.2,37,24,23,0,28,0,25,1,0,1,162,70,3.88,1.875,9.6,0.0,7.3,6.5,0.89,abbotpa01
4,Jim Acker,31,TOR,AL,4,4,.500,3.83,59,0,19,0,0,1,91.2,103,49,39,9,30,5,54,3,1,4,403,108,3.99,1.451,10.1,0.9,2.9,5.3,1.80,ackerji01
5,Steve Adkins*,25,NYY,AL,1,2,.333,6.38,5,5,0,0,0,0,24.0,19,18,17,4,29,0,14,0,0,2,115,63,7.43,2.000,7.1,1.5,10.9,5.3,0.48,adkinst01
6,Juan Agosto*,32,HOU,NL,9,8,.529,4.29,82,0,29,0,0,4,92.1,91,46,44,4,39,8,50,7,0,1,404,87,3.78,1.408,8.9,0.4,3.8,4.9,1.28,agostju01
7,Rick Aguilera,28,MIN,AL,5,3,.625,2.76,56,0,54,0,0,32,65.1,55,27,20,5,19,6,61,4,0,3,268,152,2.99,1.133,7.6,0.7,2.6,8.4,3.21,aguilri01
8,Darrel Akerfelds,28,PHI,NL,5,2,.714,3.77,71,0,18,0,0,3,93.0,65,45,39,10,54,8,42,3,1,7,395,101,5.14,1.280,6.3,1.0,5.2,4.1,0.78,akerfda01
9,Scott Aldred*,22,DET,AL,1,2,.333,3.77,4,3,0,0,0,0,14.1,13,6,6,0,10,1,7,1,0,0,63,109,4.13,1.605,8.2,0.0,6.3,4.4,0.70,aldresc01
10,Jay Aldrich,29,BAL,AL,1,2,.333,8.25,7,0,2,0,0,1,12.0,17,13,11,1,7,3,5,0,1,0,61,48,4.81,2.000,12.8,0.8,5.3,3.8,0.71,aldrija01
11,Gerald Alexander,22,TEX,AL,0,0,,7.71,3,2,1,0,0,0,7.0,14,6,6,0,5,0,8,1,0,0,39,54,3.09,2.714,18.0,0.0,6.4,10.3,1.60,alexage01
12,Larry Andersen,37,TOT,MLB,5,2,.714,1.79,65,0,24,0,0,7,95.2,79,22,19,2,27,5,93,2,0,4,387,215,2.04,1.108,7.4,0.2,2.5,8.7,3.44,anderla02
13,Larry Andersen,37,HOU,NL,5,2,.714,1.95,50,0,20,0,0,6,73.2,61,19,16,2,24,5,68,1,0,2,301,191,2.33,1.154,7.5,0.2,2.9,8.3,2.83,anderla02
14,Larry Andersen,37,BOS,AL,0,0,,1.23,15,0,4,0,0,1,22.0,18,3,3,0,3,0,25,1,0,2,86,338,1.08,0.955,7.4,0.0,1.2,10.2,8.33,anderla02
15,Allan Anderson*,26,MIN,AL,7,18,.280,4.53,31,31,0,5,1,0,188.2,214,106,95,20,39,1,82,5,3,4,797,92,4.02,1.341,10.2,1.0,1.9,3.9,2.10,anderal02
16,Scott Anderson,27,MON,NL,0,1,.000,3.00,4,3,1,0,0,0,18.0,12,6,6,1,5,0,16,0,0,0,71,124,2.59,0.944,6.0,0.5,2.5,8.0,3.20,andersc01
17,Kevin Appier,22,KCR,AL,12,8,.600,2.76,32,24,1,3,3,0,185.2,179,67,57,13,54,2,127,6,1,6,784,139,3.32,1.255,8.7,0.6,2.6,6.2,2.35,appieke01
18,Luis Aquino,26,KCR,AL,4,1,.800,3.16,20,3,3,1,0,0,68.1,59,25,24,6,27,6,28,4,1,3,287,122,4.49,1.259,7.8,0.8,3.6,3.7,1.04,aquinlu01
19,Jack Armstrong,25,CIN,NL,12,9,.571,3.42,29,27,1,2,1,0,166.0,151,72,63,9,59,7,110,6,5,7,704,117,3.36,1.265,8.2,0.5,3.2,6.0,1.86,armstja01
20,Brad Arnsberg,26,TEX,AL,6,1,.857,2.15,53,0,20,0,0,5,62.2,56,20,15,4,33,1,44,2,0,8,277,183,3.91,1.420,8.0,0.6,4.7,6.3,1.33,arnsbbr01
21,Paul Assenmacher*,29,CHC,NL,7,2,.778,2.80,74,1,21,0,0,10,103.0,90,33,32,10,36,8,95,1,0,2,426,147,3.30,1.223,7.9,0.9,3.1,8.3,2.64,assenpa01
