Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Glenn Abbott,22,OAK,AL,1,0,1.000,3.86,5,3,1,1,0,0,18.2,16,8,8,3,7,0,6,0,1,0,79,94,5.14,1.232,7.7,1.4,3.4,2.9,0.86,abbotgl01
2,Cy Acosta,26,CHW,AL,10,6,.625,2.23,48,0,42,0,0,18,97.0,66,30,24,8,39,3,60,7,1,2,396,181,3.82,1.082,6.1,0.7,3.6,5.6,1.54,acostcy01
3,Jack Aker,32,CHC,NL,4,5,.444,4.10,47,0,32,0,0,12,63.2,76,33,29,8,23,6,25,2,0,0,281,96,4.59,1.555,10.7,1.1,3.3,3.5,1.09,akerja01
4,Vic Albury*,26,MIN,AL,1,0,1.000,2.70,14,0,5,0,0,0,23.1,13,7,7,1,19,2,13,0,1,5,96,148,4.45,1.371,5.0,0.4,7.3,5.0,0.68,alburvi01
5,Doyle Alexander,22,BAL,AL,12,8,.600,3.86,29,26,2,10,0,0,174.2,169,85,75,19,52,5,63,7,0,3,726,96,4.27,1.265,8.7,1.0,2.7,3.2,1.21,alexado01
6,Lloyd Allen,23,TOT,AL,0,6,.000,9.42,28,5,14,0,0,2,49.2,73,69,52,3,44,2,29,5,0,9,271,40,5.14,2.356,13.2,0.5,8.0,5.3,0.66,allenll01
7,Lloyd Allen,23,CAL,AL,0,0,,10.38,5,0,1,0,0,1,8.2,15,10,10,0,5,0,4,0,0,2,43,36,3.37,2.308,15.6,0.0,5.2,4.2,0.80,allenll01
8,Lloyd Allen,23,TEX,AL,0,6,.000,9.22,23,5,13,0,0,1,41.0,58,59,42,3,39,2,25,5,0,7,228,41,5.52,2.366,12.7,0.7,8.6,5.5,0.64,allenll01
9,John Andrews*,24,STL,NL,1,1,.500,4.42,16,0,2,0,0,0,18.1,16,10,9,3,11,1,5,0,0,3,80,85,5.95,1.473,7.9,1.5,5.4,2.5,0.45,andrejo02
10,Norm Angelini*,25,KCR,AL,0,0,,4.91,7,0,3,0,0,1,3.2,2,2,2,0,7,0,3,0,0,0,19,91,6.66,2.455,4.9,0.0,17.2,7.4,0.43,angelno01
11,Bob Apodaca,23,NYM,NL,0,0,,inf,1,0,0,0,0,0,0.0,0,1,1,0,2,0,0,0,0,0,2,17,,,,,,,0.00,apodabo01
12,Steve Arlin,27,SDP,NL,11,14,.440,5.10,34,27,0,7,3,0,180.0,196,107,102,26,72,7,98,1,0,7,794,68,4.57,1.489,9.8,1.3,3.6,4.9,1.36,arlinst01
13,Stan Bahnsen,28,CHW,AL,18,21,.462,3.57,42,42,0,14,4,0,282.1,290,128,112,20,117,2,120,5,0,10,1218,113,3.93,1.442,9.2,0.6,3.7,3.8,1.03,bahnsst01
14,Dave Baldwin,35,CHW,AL,0,0,,3.60,3,0,1,0,0,0,5.0,7,2,2,0,4,1,1,0,0,0,23,120,4.57,2.200,12.6,0.0,7.2,1.8,0.25,baldwda01
15,Eddie Bane*,21,MIN,AL,0,5,.000,4.92,23,6,5,0,0,2,60.1,62,40,33,5,30,0,42,2,2,4,268,81,3.84,1.525,9.2,0.7,4.5,6.3,1.40,baneed01
16,Dick Baney,26,CIN,NL,2,1,.667,2.93,11,1,3,0,0,2,30.2,26,10,10,1,6,1,17,4,0,0,122,118,2.86,1.043,7.6,0.3,1.8,5.0,2.83,baneydi01
17,Steve Barber*,35,CAL,AL,3,2,.600,3.53,50,1,19,0,0,4,89.1,90,40,35,5,32,3,58,3,0,4,386,100,3.17,1.366,9.1,0.5,3.2,5.8,1.81,barbest01
18,Jim Barr,25,SFG,NL,11,17,.393,3.81,41,33,4,8,3,2,231.1,240,105,98,24,49,7,88,5,0,3,966,101,3.85,1.249,9.3,0.9,1.9,3.4,1.80,barrji01
19,Fred Beene,30,NYY,AL,6,0,1.000,1.68,19,4,11,0,0,1,91.0,67,21,17,5,27,5,49,1,0,3,353,219,3.13,1.033,6.6,0.5,2.7,4.8,1.81,beenefr01
20,Jerry Bell,25,MIL,AL,9,9,.500,3.97,31,25,3,8,0,1,183.2,185,95,81,14,70,5,57,5,1,6,788,95,4.16,1.388,9.1,0.7,3.4,2.8,0.81,bellje01
21,Jim Bibby,28,TOT,MLB,9,12,.429,3.76,32,26,1,11,2,1,196.1,140,90,82,16,123,6,167,8,2,15,836,99,3.93,1.340,6.4,0.7,5.6,7.7,1.36,bibbyji01
22,Jim Bibby,28,STL,NL,0,2,.000,9.56,6,3,0,0,0,0,16.0,19,17,17,2,17,2,12,2,1,5,83,39,6.25,2.250,10.7,1.1,9.6,6.8,0.71,bibbyji01
23,Jim Bibby,28,TEX,AL,9,10,.474,3.24,26,23,1,11,2,1,180.1,121,73,65,14,106,4,155,6,1,10,753,115,3.72,1.259,6.0,0.7,5.3,7.7,1.46,bibbyji01
24,Jack Billingham,30,CIN,NL,19,10,.655,3.04,40,40,0,16,7,0,293.1,257,112,99,20,95,10,155,10,0,10,1205,113,3.47,1.200,7.9,0.6,2.9,4.8,1.63,billija01
25,Doug Bird,23,KCR,AL,4,4,.500,2.99,54,0,41,0,0,20,102.1,81,37,34,10,30,7,83,2,1,1,414,136,3.15,1.085,7.1,0.9,2.6,7.3,2.77,birddo01
26,Steve Blass,31,PIT,NL,3,9,.250,9.85,23,18,1,1,0,0,88.2,109,98,97,11,84,4,27,12,0,9,455,36,6.82,2.177,11.1,1.1,8.5,2.7,0.32,blassst01
27,Vida Blue*,23,OAK,AL,20,9,.690,3.28,37,37,0,13,4,0,263.2,214,108,96,26,105,2,158,4,2,15,1083,109,3.89,1.210,7.3,0.9,3.6,5.4,1.50,bluevi01
28,Bert Blyleven,22,MIN,AL,20,17,.541,2.52,40,40,0,25,9,0,325.0,296,109,91,16,67,4,258,9,2,7,1321,156,2.32,1.117,8.2,0.4,1.9,7.1,3.85,blylebe01
29,Bobby Bolin,34,BOS,AL,3,4,.429,2.70,39,0,29,0,0,15,53.1,45,16,16,5,13,2,31,1,0,1,212,150,3.41,1.088,7.6,0.8,2.2,5.2,2.38,bolinbo01
30,Bill Bonham,24,CHC,NL,7,5,.583,3.02,44,15,14,3,0,6,152.0,126,55,51,10,64,7,121,4,1,9,627,130,3.17,1.250,7.5,0.6,3.8,7.2,1.89,bonhabi01
31,Pedro Borbon,26,CIN,NL,11,4,.733,2.16,80,0,36,0,0,14,121.0,137,33,29,4,35,15,60,1,0,1,516,159,2.90,1.421,10.2,0.3,2.6,4.5,1.71,borbope01
32,Dick Bosman,29,TOT,AL,3,13,.188,5.64,29,24,3,3,1,0,137.1,172,98,86,25,46,6,55,7,0,5,622,69,5.29,1.587,11.3,1.6,3.0,3.6,1.20,bosmadi01
33,Dick Bosman,29,TEX,AL,2,5,.286,4.24,7,7,0,1,1,0,40.1,42,24,19,6,17,1,14,1,0,2,176,88,5.14,1.463,9.4,1.3,3.8,3.1,0.82,bosmadi01
34,Dick Bosman,29,CLE,AL,1,8,.111,6.22,22,17,3,2,0,0,97.0,130,74,67,19,29,5,41,6,0,3,446,64,5.35,1.639,12.1,1.8,2.7,3.8,1.41,bosmadi01
35,Tom Bradley,26,SFG,NL,13,12,.520,3.90,35,34,0,6,1,0,224.0,212,109,97,26,69,10,136,3,0,7,945,99,3.82,1.254,8.5,1.0,2.8,5.5,1.97,bradlto01
36,Darrell Brandon,32,PHI,NL,2,4,.333,5.43,36,0,10,0,0,2,56.1,54,35,34,5,25,7,25,3,0,5,243,70,4.32,1.402,8.6,0.8,4.0,4.0,1.00,brandbu01
37,Ken Brett*,24,PHI,NL,13,9,.591,3.44,31,25,2,10,1,0,211.2,206,91,81,19,74,12,111,0,0,7,882,110,3.73,1.323,8.8,0.8,3.1,4.7,1.50,brettke01
38,Jim Brewer*,35,LAD,NL,6,8,.429,3.01,56,0,39,0,0,20,71.2,58,26,24,8,25,9,56,0,0,4,292,116,3.50,1.158,7.3,1.0,3.1,7.0,2.24,breweji01
39,Nelson Briles,29,PIT,NL,14,13,.519,2.84,33,33,0,7,1,0,218.2,201,87,69,19,51,3,94,1,0,1,893,124,3.55,1.152,8.3,0.8,2.1,3.9,1.84,brilene01
40,Pete Broberg,23,TEX,AL,5,9,.357,5.61,22,20,1,6,1,0,118.2,130,77,74,8,66,3,57,5,1,5,542,66,4.28,1.652,9.9,0.6,5.0,4.3,0.86,brobepe01
41,Jackie Brown,30,TEX,AL,5,5,.500,3.92,25,3,10,2,1,2,66.2,82,31,29,7,25,0,45,2,0,1,294,95,3.80,1.605,11.1,0.9,3.4,6.1,1.80,brownja01
42,Ron Bryant*,25,SFG,NL,24,12,.667,3.53,41,39,1,8,0,0,270.0,240,125,106,23,115,12,143,9,1,8,1165,109,3.99,1.315,8.0,0.8,3.8,4.8,1.24,bryanro01
43,Tom Burgmeier*,29,KCR,AL,0,0,,5.40,6,0,5,0,0,1,10.0,13,6,6,2,4,0,4,1,0,1,47,78,5.87,1.700,11.7,1.8,3.6,3.6,1.00,burgmto01
44,Ray Burris,22,CHC,NL,1,1,.500,2.92,31,1,12,0,0,0,64.2,65,22,21,2,27,7,57,0,0,3,282,135,2.46,1.423,9.0,0.3,3.8,7.9,2.11,burrira01
45,Steve Busby,23,KCR,AL,16,15,.516,4.23,37,37,0,7,1,0,238.1,246,125,112,18,105,7,174,6,0,9,1037,96,3.48,1.473,9.3,0.7,4.0,6.6,1.66,busbyst01
46,Tom Buskey,26,NYY,AL,0,1,.000,5.40,8,0,6,0,0,1,16.2,18,12,10,2,4,0,8,1,0,1,72,70,4.07,1.320,9.7,1.1,2.2,4.3,2.00,busketo01
47,Mike Caldwell*,24,SDP,NL,5,14,.263,3.74,55,13,27,3,1,10,149.0,146,77,62,8,53,10,86,2,0,10,632,92,3.22,1.336,8.8,0.5,3.2,5.2,1.62,caldwmi01
48,Bill Campbell,24,MIN,AL,3,3,.500,3.14,28,2,20,0,0,7,51.2,44,20,18,5,20,1,42,1,0,2,218,127,3.42,1.239,7.7,0.9,3.5,7.3,2.10,campbbi02
49,Buzz Capra,25,NYM,NL,2,7,.222,3.86,24,0,10,0,0,4,42.0,35,18,18,4,28,9,35,2,0,3,188,95,4.28,1.500,7.5,0.9,6.0,7.5,1.25,caprabu01
50,Steve Carlton*,28,PHI,NL,13,20,.394,3.90,40,40,0,18,3,0,293.1,293,146,127,29,113,12,223,3,0,7,1262,97,3.52,1.384,9.0,0.9,3.5,6.8,1.97,carltst01
51,Don Carrithers,23,SFG,NL,1,2,.333,4.81,25,3,3,0,0,0,58.0,64,40,31,2,35,2,36,4,0,6,273,81,3.79,1.707,9.9,0.3,5.4,5.6,1.03,carrido01
52,Clay Carroll,32,CIN,NL,8,8,.500,3.69,53,5,24,0,0,14,92.2,111,47,38,5,34,11,41,5,0,2,415,93,3.65,1.565,10.8,0.5,3.3,4.0,1.21,carrocl02
53,Craig Caskey*,23,MON,NL,0,0,,5.65,9,1,1,0,0,0,14.1,15,11,9,3,4,0,6,1,0,0,61,69,5.50,1.326,9.4,1.9,2.5,3.8,1.50,caskecr01
54,Bill Champion,25,MIL,AL,5,8,.385,3.70,37,11,6,2,0,1,136.1,139,58,56,10,62,4,67,4,1,8,592,102,3.99,1.474,9.2,0.7,4.1,4.4,1.08,champbi01
55,Dave Cheadle*,21,ATL,NL,0,1,.000,18.00,2,0,1,0,0,0,2.0,2,4,4,1,3,2,2,0,1,0,11,26,11.57,2.500,9.0,4.5,13.5,9.0,0.67,cheadda01
56,Larry Christenson,19,PHI,NL,1,4,.200,6.55,10,9,0,1,0,0,34.1,53,25,25,3,20,1,11,1,0,1,167,58,4.90,2.126,13.9,0.8,5.2,2.9,0.55,chrisla01
57,Reggie Cleveland,25,STL,NL,14,10,.583,3.01,32,32,0,6,3,0,224.0,211,88,75,13,61,12,122,4,0,3,939,122,3.10,1.214,8.5,0.5,2.5,4.9,2.00,clevere01
58,Al Closter*,30,ATL,NL,0,0,,14.54,4,0,0,0,0,0,4.1,7,7,7,1,4,1,2,0,0,0,23,30,7.41,2.538,14.5,2.1,8.3,4.2,0.50,clostal01
59,David Clyde*,18,TEX,AL,4,8,.333,5.01,18,18,0,0,0,0,93.1,106,63,52,8,54,1,74,4,1,5,426,74,3.96,1.714,10.2,0.8,5.2,7.1,1.37,clydeda01
60,Jim Colborn,27,MIL,AL,20,12,.625,3.18,43,36,2,22,4,1,314.1,297,133,111,21,87,5,135,3,1,6,1287,118,3.43,1.222,8.5,0.6,2.5,3.9,1.55,colboji01
61,Joe Coleman,26,DET,AL,23,15,.605,3.53,40,40,0,13,2,0,288.1,283,125,113,32,93,2,202,10,0,6,1219,115,3.68,1.304,8.8,1.0,2.9,6.3,2.17,colemjo05
62,Ray Corbin,24,MIN,AL,8,5,.615,3.03,51,7,28,1,0,14,148.1,124,58,50,7,60,4,83,5,0,8,622,130,3.37,1.240,7.5,0.4,3.6,5.0,1.38,corbira01
63,Mike Corkins,27,SDP,NL,5,8,.385,4.50,47,11,18,2,0,3,122.0,130,79,61,12,61,10,82,11,0,6,558,77,4.27,1.566,9.6,0.9,4.5,6.0,1.34,corkimi01
64,Mike Cosgrove*,22,HOU,NL,1,1,.500,1.80,13,0,2,0,0,0,10.0,11,2,2,1,8,2,2,0,0,1,49,208,5.87,1.900,9.9,0.9,7.2,1.8,0.25,cosgrmi01
65,Casey Cox,31,NYY,AL,0,0,,6.00,1,0,1,0,0,0,3.0,5,3,2,0,1,0,0,2,0,0,18,70,5.57,2.000,15.0,0.0,3.0,0.0,0.00,coxca01
66,Jim Crawford*,22,HOU,NL,2,4,.333,4.50,48,0,20,0,0,6,70.0,69,41,35,7,33,8,56,2,1,7,314,80,3.77,1.457,8.9,0.9,4.2,7.2,1.70,crawfji01
67,Mike Cuellar*,36,BAL,AL,18,13,.581,3.27,38,38,0,17,2,0,267.0,265,120,97,29,84,2,140,0,0,8,1127,114,3.87,1.307,8.9,1.0,2.8,4.7,1.67,cuellmi01
