Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Don Aase,33,BAL,AL,0,0,,4.05,35,0,16,0,0,0,46.2,40,22,21,4,37,5,28,0,0,1,209,97,5.06,1.650,7.7,0.8,7.1,5.4,0.76,aasedo01
2,Jim Acker,29,ATL,NL,0,4,.000,4.71,21,1,7,0,0,0,42.0,45,26,22,6,14,3,25,1,0,2,184,78,4.51,1.405,9.6,1.3,3.0,5.4,1.79,ackerji01
3,Juan Agosto*,30,HOU,NL,10,2,.833,2.26,75,0,33,0,0,4,91.2,74,27,23,6,30,13,33,0,5,3,371,148,3.88,1.135,7.3,0.6,2.9,3.2,1.10,agostju01
4,Rick Aguilera,26,NYM,NL,0,4,.000,6.93,11,3,2,0,0,0,24.2,29,20,19,2,10,2,16,1,1,1,111,47,3.86,1.581,10.6,0.7,3.6,5.8,1.60,aguilri01
5,Gibson Alba*,28,STL,NL,0,0,,2.70,3,0,1,0,0,0,3.1,1,2,1,0,2,0,3,0,0,0,14,146,2.77,0.900,2.7,0.0,5.4,8.1,1.50,albagi01
6,Doyle Alexander,37,DET,AL,14,11,.560,4.32,34,34,0,5,1,0,229.0,260,122,110,30,46,7,126,5,1,2,985,88,4.04,1.336,10.2,1.2,1.8,5.0,2.74,alexado01
7,Neil Allen,30,NYY,AL,5,3,.625,3.84,41,2,10,0,1,0,117.1,121,51,50,14,37,7,61,2,0,2,504,103,4.28,1.347,9.3,1.1,2.8,4.7,1.65,allenne01
8,José Álvarez,32,ATL,NL,5,6,.455,2.99,60,0,23,0,0,3,102.1,88,34,34,7,53,12,81,6,1,4,436,123,3.80,1.378,7.7,0.6,4.7,7.1,1.53,alvarjo01
9,Larry Andersen,35,HOU,NL,2,4,.333,2.94,53,0,25,0,0,5,82.2,82,29,27,3,20,8,66,1,2,1,350,113,2.41,1.234,8.9,0.3,2.2,7.2,3.30,anderla02
10,Allan Anderson*,24,MIN,AL,16,9,.640,2.45,30,30,0,3,1,0,202.1,199,70,55,14,37,1,83,7,4,1,815,166,3.50,1.166,8.9,0.6,1.6,3.7,2.24,anderal02
