Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Jim Abbott*,25,NYY,AL,11,14,.440,4.37,32,32,0,4,1,0,214.0,221,115,104,22,73,4,95,3,0,9,906,95,4.50,1.374,9.3,0.9,3.1,4.0,1.30,abbotji01
2,Paul Abbott,25,CLE,AL,0,1,.000,6.38,5,5,0,0,0,0,18.1,19,15,13,5,11,1,7,0,0,1,84,69,7.57,1.636,9.3,2.5,5.4,3.4,0.64,abbotpa01
3,Juan Agosto*,35,HOU,NL,0,0,,6.00,6,0,3,0,0,0,6.0,8,4,4,1,0,0,3,0,1,0,26,68,4.15,1.333,12.0,1.5,0.0,4.5,,agostju01
4,Rick Aguilera,31,MIN,AL,4,3,.571,3.11,65,0,61,0,0,34,72.1,60,25,25,9,14,3,59,1,0,1,287,140,3.60,1.023,7.5,1.1,1.7,7.3,4.21,aguilri01
5,Scott Aldred*,25,TOT,NL,1,0,1.000,9.00,8,0,2,0,0,0,12.0,19,14,12,2,10,1,9,1,0,2,65,53,6.40,2.417,14.3,1.5,7.5,6.8,0.90,aldresc01
6,Scott Aldred*,25,COL,NL,0,0,,10.80,5,0,1,0,0,0,6.2,10,10,8,1,9,1,5,1,0,1,40,46,7.94,2.850,13.5,1.4,12.2,6.8,0.56,aldresc01
7,Scott Aldred*,25,MON,NL,1,0,1.000,6.75,3,0,1,0,0,0,5.1,9,4,4,1,1,0,4,0,0,1,25,66,4.49,1.875,15.2,1.7,1.7,6.8,4.00,aldresc01
8,Wilson Alvarez*,23,CHW,AL,15,8,.652,2.95,31,31,0,1,1,0,207.2,168,78,68,14,122,8,155,7,1,2,877,143,4.24,1.396,7.3,0.6,5.3,6.7,1.27,alvarwi01
9,Larry Andersen,40,PHI,NL,3,2,.600,2.92,64,0,13,0,0,0,61.2,54,22,20,4,21,2,67,1,1,2,256,137,2.73,1.216,7.9,0.6,3.1,9.8,3.19,anderla02
10,Brian Anderson*,21,CAL,AL,0,0,,3.97,4,1,3,0,0,0,11.1,11,5,5,1,2,0,4,0,0,0,45,116,3.96,1.147,8.7,0.8,1.6,3.2,2.00,anderbr02
11,Mike Anderson,26,CIN,NL,0,0,,18.56,3,0,0,0,0,0,5.1,12,11,11,3,3,0,4,0,0,0,30,23,10.49,2.813,20.3,5.1,5.1,6.8,1.33,andermi02
12,Kevin Appier,25,KCR,AL,18,8,.692,2.56,34,34,0,5,1,0,238.2,183,74,68,8,81,3,186,1,0,5,953,179,2.90,1.106,6.9,0.3,3.1,7.0,2.30,appieke01
13,Luis Aquino,29,FLA,NL,6,8,.429,3.42,38,13,5,0,0,0,110.2,115,43,42,6,40,1,67,5,0,4,471,125,3.70,1.401,9.4,0.5,3.3,5.4,1.68,aquinlu01
14,Jack Armstrong,28,FLA,NL,9,17,.346,4.49,36,33,2,0,0,0,196.1,210,105,98,29,78,6,118,7,2,7,879,95,5.00,1.467,9.6,1.3,3.6,5.4,1.51,armstja01
15,René Arocha,29,STL,NL,11,8,.579,3.78,32,29,0,1,0,0,188.0,197,89,79,20,31,2,96,3,1,3,774,104,3.89,1.213,9.4,1.0,1.5,4.6,3.10,arochre01
16,Andy Ashby,25,TOT,NL,3,10,.231,6.80,32,21,3,0,0,1,123.0,168,100,93,19,56,5,77,4,3,6,577,65,5.21,1.821,12.3,1.4,4.1,5.6,1.38,ashbyan01
17,Andy Ashby,25,COL,NL,0,4,.000,8.50,20,9,3,0,0,1,54.0,89,54,51,5,32,4,33,3,3,2,277,57,4.91,2.241,14.8,0.8,5.3,5.5,1.03,ashbyan01
18,Andy Ashby,25,SDP,NL,3,6,.333,5.48,12,12,0,0,0,0,69.0,79,46,42,14,24,1,44,1,0,4,300,76,5.44,1.493,10.3,1.8,3.1,5.7,1.83,ashbyan01
19,Paul Assenmacher*,32,TOT,MLB,4,3,.571,3.38,72,0,21,0,0,0,56.0,54,21,21,5,22,6,45,1,0,0,237,120,3.77,1.357,8.7,0.8,3.5,7.2,2.05,assenpa01
20,Paul Assenmacher*,32,CHC,NL,2,1,.667,3.49,46,0,15,0,0,0,38.2,44,15,15,5,13,3,34,0,0,0,166,114,3.92,1.474,10.2,1.2,3.0,7.9,2.62,assenpa01
21,Paul Assenmacher*,32,NYY,AL,2,2,.500,3.12,26,0,6,0,0,0,17.1,10,6,6,0,9,3,11,1,0,0,71,136,3.45,1.096,5.2,0.0,4.7,5.7,1.22,assenpa01
22,Pedro Astacio,24,LAD,NL,14,9,.609,3.57,31,31,0,3,2,0,186.1,165,80,74,14,68,5,122,5,9,8,777,107,3.83,1.250,8.0,0.7,3.3,5.9,1.79,astacpe01
23,Jim Austin,29,MIL,AL,1,2,.333,3.82,31,0,8,0,0,0,33.0,28,15,14,3,13,1,15,1,0,4,137,112,4.53,1.242,7.6,0.8,3.5,4.1,1.15,austiji02
24,Steve Avery*,23,ATL,NL,18,6,.750,2.94,35,35,0,3,1,0,223.1,216,81,73,14,43,5,125,0,1,3,891,136,3.26,1.160,8.7,0.6,1.7,5.0,2.91,averyst01
25,Bobby Ayala,23,CIN,NL,7,10,.412,5.60,43,9,8,0,0,3,98.0,106,72,61,16,45,4,65,7,0,5,450,72,5.38,1.541,9.7,1.5,4.1,6.0,1.44,ayalabo01
26,Bob Ayrault,27,TOT,MLB,3,1,.750,5.40,24,0,9,0,0,0,30.0,36,19,18,2,16,2,15,1,0,1,139,80,4.55,1.733,10.8,0.6,4.8,4.5,0.94,ayraubo01
27,Bob Ayrault,27,PHI,NL,2,0,1.000,9.58,10,0,3,0,0,0,10.1,18,11,11,1,10,1,8,1,0,1,59,43,5.89,2.710,15.7,0.9,8.7,7.0,0.80,ayraubo01
28,Bob Ayrault,27,SEA,AL,1,1,.500,3.20,14,0,6,0,0,0,19.2,18,8,7,1,6,1,7,0,0,0,80,139,3.85,1.220,8.2,0.5,2.7,3.2,1.17,ayraubo01
29,Cory Bailey,22,BOS,AL,0,1,.000,3.45,11,0,5,0,0,0,15.2,12,7,6,0,12,3,11,0,1,2,66,137,3.88,1.532,6.9,0.0,6.9,6.3,0.92,baileco01
30,Jeff Ballard*,29,PIT,NL,4,1,.800,4.86,25,5,4,0,0,0,53.2,70,31,29,3,15,3,16,2,0,2,234,83,4.07,1.584,11.7,0.5,2.5,2.7,1.07,ballaje01
31,Scott Bankhead,29,BOS,AL,2,1,.667,3.50,40,0,4,0,0,0,64.1,59,28,25,7,29,3,47,0,0,1,272,133,4.29,1.368,8.3,1.0,4.1,6.6,1.62,bankhsc01
32,Willie Banks,24,MIN,AL,11,12,.478,4.04,31,30,1,0,0,0,171.1,186,91,77,17,78,2,138,3,5,9,754,107,4.09,1.541,9.8,0.9,4.1,7.2,1.77,bankswi01
33,Brian Barnes*,26,MON,NL,2,6,.250,4.41,52,8,8,0,0,3,100.0,105,53,49,9,48,2,60,0,1,5,442,95,4.40,1.530,9.5,0.8,4.3,5.4,1.25,barnebr01
34,Rich Batchelor,26,STL,NL,0,0,,8.10,9,0,2,0,0,0,10.0,14,12,9,1,3,1,4,0,0,0,45,50,4.39,1.700,12.6,0.9,2.7,3.6,1.33,batchri01
35,Jose Bautista,28,CHC,NL,10,3,.769,2.82,58,7,14,1,0,2,111.2,105,38,35,11,27,3,63,5,1,4,459,140,4.00,1.182,8.5,0.9,2.2,5.1,2.33,bautijo01
36,Rod Beck,24,SFG,NL,3,1,.750,2.16,76,0,71,0,0,48,79.1,57,20,19,11,13,4,86,3,0,4,309,181,3.23,0.882,6.5,1.2,1.5,9.8,6.62,beckro01
37,Steve Bedrosian,35,ATL,NL,5,2,.714,1.63,49,0,12,0,0,0,49.2,34,11,9,4,14,2,33,2,1,5,198,248,3.67,0.966,6.2,0.7,2.5,6.0,2.36,bedrost01
38,Tim Belcher,31,TOT,MLB,12,11,.522,4.44,34,33,0,5,3,0,208.2,198,108,103,19,74,4,135,8,0,6,886,92,4.06,1.304,8.5,0.8,3.2,5.8,1.82,belchti01
39,Tim Belcher,31,CIN,NL,9,6,.600,4.47,22,22,0,4,2,0,137.0,134,72,68,11,47,4,101,7,0,6,590,90,3.74,1.321,8.8,0.7,3.1,6.6,2.15,belchti01
40,Tim Belcher,31,CHW,AL,3,5,.375,4.40,12,11,0,1,1,0,71.2,64,36,35,8,27,0,34,1,0,0,296,96,4.66,1.270,8.0,1.0,3.4,4.3,1.26,belchti01
41,Stan Belinda,26,TOT,MLB,4,2,.667,3.88,63,0,44,0,0,19,69.2,65,31,30,6,17,4,55,2,0,2,287,110,3.35,1.177,8.4,0.8,2.2,7.1,3.24,belinst01
42,Stan Belinda,26,PIT,NL,3,1,.750,3.61,40,0,37,0,0,19,42.1,35,18,17,4,11,4,30,1,0,0,171,112,3.65,1.087,7.4,0.9,2.3,6.4,2.73,belinst01
43,Stan Belinda,26,KCR,AL,1,1,.500,4.28,23,0,7,0,0,0,27.1,30,13,13,2,6,0,25,1,0,2,116,109,2.88,1.317,9.9,0.7,2.0,8.2,4.17,belinst01
44,Eric Bell*,29,HOU,NL,0,1,.000,6.14,10,0,2,0,0,0,7.1,10,5,5,0,2,0,2,0,0,0,34,66,3.26,1.636,12.3,0.0,2.5,2.5,1.00,beller01
45,Andy Benes,25,SDP,NL,15,15,.500,3.78,34,34,0,4,2,0,230.2,200,111,97,23,86,7,179,4,2,14,968,109,3.90,1.240,7.8,0.9,3.4,7.0,2.08,benesan01
